TID,CID,CTID,SourceID,id,number,title,length,artist,album,year,language
10961,5702,1,5,8638100,3,Vincent,242800,Don McLean,Troubadours: The Essential Album,,English
10962,5703,1,5,4955863,5,Reality,243000,Mutiny,Funk Plus The One,1994,English
10963,5704,1,4,181322-A060,11,011-Mood to Be Wooed,3m 2sec,Duke Ellington and His Orchestra,The Chronological Classics: Duke and His Orchestra 1944-1945 (1996),null,Eng.
10964,5705,1,1,WoM24305244,008,The Heart Asks Pleasure First (The Original Chillout Album),01:35,Michael Nyman,Original Chillout Album,2005,
10965,1507,3,4,82296-A00,4,004-Bernadiah,5m 29sec,Tommy Tutone,null,null,Eng.
10966,2317,3,1,WoM3529126,011,Fuck What You Heard (Lords of Hardcore: The Digital Chaos),04:39,DJ Outblast,Lords of Hardcore: The Digital Chaos,20 03,
10967,5706,1,5,8679708,10,Global Conflict (a),,Robert Foster & Richard Wells,Global Shockwave,,English
10968,5707,1,1,WoM2829524,006,Chilling Through the Lives (Hypermodern Jazz 2000.5),05:01,Alec Empire,Hypermodern Jazz 2000.5,1996,
10969,1162,3,3,42502920MB-01,3,Fetishism Ark (off Vocal),4.684,いとうかなこ,Fetishism Ark,'10,Japanese
10970,5708,1,4,53420-A014,4,004-I Me Mine,4m 41sec,Laibach,Let It Be (1997),null,Eng.
10971,8425,2,1,WoM15222649,023,la Sent Girvàsia (faguem ribòta ! - Danses d'Occitanie),03:20,La Talvera,faguem ribòta ! - Danses d'Occitanie,,
10972,5709,1,2,MBox21145236-HH,2,Glass Candy - Ripe Apples,258,unk.,Music Dream,06,English
10973,5710,1,4,180666-A016,10,010-Kreuzberg,2m 23sec,Beton Combo,Perfektion ist Sache der Gotter (1981),null,Ger.
10974,5680,2,5,15899067,5,Someday Sweetheart,136000,Peggy Lee,Miss Wonderful,2006,Enlish
10975,5711,1,3,6700905MB-01,7,It Ain't Nothin' - All American Country,4.067,Keith Whitley,,'05,English
10976,4112,2,2,MBox39518125-HH,11,Luka Bloom - Peace Rains,190,,Tribke,07,Engliish
10977,8048,2,4,231250-A060,32,"Goldberg Variationen, BWV 988, Aria mit 30 Veranderungen 32",2m 26sec,Johann Sebastian Bach,"Goldberg-Variationen, BWV 988, Clavierubung, Teil 4 (unknown)",null,Ger.
10978,5598,2,3,22677819MB-01,7,Armer Sünder - Das Ende vom Lied,3.783,Eichenschild,,'05,German
10979,4945,2,1,WoM1988117,22,"Thermal Nose (Forbidden Colours-mix) (A Reflexion of Synthpop, Volume 1)",05:13,Statemachine,"A Reflexion of Synthpop,Volume 1",1998,
10980,5712,1,5,4543513,1,Nav',145346,Drudkh,Blood in Our Wells,,English
10981,5713,1,1,WoM5292346,018,"Funky Emergency (Jazz Brakes, Volume 2)",01:50,DJ Food,"Jazz Brakes, Volume 2",1991,
10982,1249,2,3,22980012MB-01,24,The Ballad of Jonah (Gilligan's Island Theme) (split) - Pirates' Boat Load Of Fun,1.801,VeggieTales,,'02,English
10983,5714,1,3,6146023MB-01,28,“Balance of Terror”: Romulan Theme (M22) - Star Trek: The Original Series Soundtrack Collection,0.933,Fred Steineer,,'12,English
10984,8685,3,4,150306-A011,5,005-Domination or Destruction,2m 42sec,Rhetoric,"1989-06-09: The Barn Tavern, Norwich, UK (unknown)",null,Eng.
10985,5715,1,1,WoM10723345,012,Ett fotografi (Sånger För December),03:05,Uno Svenningsson & IIrma Schultz Keller,Sånger För December,2006,
10986,8509,3,2,MBox35660314-HH,6,Kenza Farah - Indélébile,22 9,,4 Love,12,French
10987,5925,3,5,10444120,53,Switchblade,30000,Barrie Gledden & Kes Loy & Richard Kimmings,"Punk, Rock",2009,English
10988,5716,1,3,7047484MB-01,3,Always - Donya,3.007,Arash feat. Aysel,,,English
10989,4089,2,4,null,M4,"0M4-Symphonie No. 8 F-Dur, Op. 93: IV. Allegro vivace",7m 21sec,"Beethoven; Bernstein, Wiener Philharmoniker",9 Symphonien (1980),null,Ger.
10990,8249,2,3,61207212MB-01,6,"Aš pas savo giminėlę - Dievo žirgai, laimės ratai",,Spanxti,,'12,Lithuanian
10991,5717,1,4,72579-A06,9,009-Mister XL,unknown,Olga,Tama pimea puoli (2006),null,Fin.
10992,7256,2,3,6940627MB-01,11,Old Age - Passion and Fall,4.383,Contre Jour,,'13,Eng lish
10993,5718,1,3,29090618MB-01,9,Eldorado,1.833,Michiel Borstlap,Eldorado,'08,English
10994,4231,4,3,46656517MB-01,7,Tänk på barnen - Stockholms Mangel,0.817,Mob 47,,'00,Swedish
10995,5719,1,5,15876036,11,Porta d'Oriente,195560,Rondò Veneziano,Misteriosa Venezia,1987,I talian
10996,5720,1,4,110372-A03,19,019-Van a por nosotros,4m 0sec,Turtle Power Crew,Aplasta tus gafas de pasta (2007),null,Spa.
10997,4537,2,2,MBox4164798-HH,11,"Wolfgang Amadeus Mozart - Litaniae Lauretanae B.M.V., K. 109: Salus infirmorum",54,,250th Anniversary Edition: Complete Sacred Works,05,English
10998,5755,3,5,11656936,12,Ilarie,323339,Carmen Y Los Peques,Mini Disco,1998,
10999,1789,4,3,17858811MB-01,2,"Lord of All Fevers and Plague - 2001-07-19: Long Beach, CA, USA",,Morbid angel,,,English
11000,5721,1,5,7465184,9,Milord,288720,Nicole,How Do You Keep The Music Playing,1999,English
11001,5722,1,5,6113306,1,Get Ovver,260000,Scotti,Nick Scotti,1993,English
11002,5723,1,2,MBox26174724-HH,12,Jeroen van Veen - Prélude nr. 24 in D minor,594,,Minimal Piano Collection,06,English
11003,5724,1,2,MBox28610833-HH,10,Banjo Band Ivana Mládka - Dáša jeda cukroví,133,,Dobrý den!,76,Czech
11004,5725,1,3,34057716MB-01,3,"Croatian Polka Magic - Here Come the Polka Heroes, Volume 2",2.75,Polka Quads,,'99,English
11005,2926,2,4,16370-A0q1,22,022-[silence],0m 5sec,David Crowder Badn,All I Can Say (1998),null,Eng.
11006,5726,1,4,92414-A046,6,006- ,3m 0sec,Uma2rmaH,   (2008),null,Eng.
11007,9143,2,2,MBox10768610-HH,1,"Alison Krauss & Union Station - So Long, So Wrong (intro)",14,,So Long So Wrong,97,English
11008,5727,1,3,7105637MB-01,5,Rude Boy arning - A Selfish Call to Arms,2.717,Guns of Brighton,,'14,English
11009,5728,1,2,MBox2014431-HH,15,Geralde Wilson and His Orchestra - Del Olivar,236,,The Complete Pacific Jazz Recordings of Gerald Wilson and His Orchestra,00,English
11010,5729,1,1,WoM5098844,011,Personent Hodie (Sing Aloud on This Day) (Warner Bros. Jazz Christmas Party),04:48,Bob James,Warner Bros. Jazz Christmas Party,1997,
11011,5626,3,1,WoM2151399,012,"Cheating Is a Risky Business (Blues Revue: Blues Music Sampler (Aug - Sep, 2007))",04:22,Sir Lawrence,"Blues Revue: Blues Music Sampler (Aug - Sep, 2007)",2007,
11012,5730,1,1,WoM26855048,011,New York State of Mind (Playin' With My Friends: Bennett Sings the Blues),04:30,Tony Bennett feat. Billy Joel,Playin' With My Friends: Bennett Sings the Blues,2001,
11013,5731,1,4,138800-A042,12,012-Do You Love Me?,4m 37sec,Nick Cave & The Bad Seeds,Alternative Collection (2002),null,Eng.
11014,5732,1,1,WoM19279822,034,Fear (c) (Shapes in Percussion),00:28,Frank Ricotti & Gary Kettel,Shapes in Percussion,1987,
11015,260,2,3,893987MB-01,3,Éclairs - Rayons,5.753,Vromb,,'03,French
11016,5733,1,2,MBox43110510-HH,4,Edward Mote & William B. Bradbury - The Solid Rock,186,,World's Greatest Praise & Worship,,English
11017,3902,3,1,WoM21347044,0 04,Symphony No. 4 in F minor: IV. Finale con epilogo fugato. Allegro molto (Symphony No. 4 / Flos Campi / Norfolk Rhapsody No. 1 (Bournemouth Symphony Orchestra feat. conductor: Paul Daniel)),08:36,Ralph Vaughan Williams,Symphony No. 4 / Flos Campi / Norfolk Rhapsody No. 1 (Bournemouth Symphony Orchestra feat. conductor: Paul Daniel),,
11018,5734,1,1,WoM1760996,002,Hoofdstuk 01-01: Inleiding: volk en vrijheid (Vaderlandsliefde: hoorcollege over nationalisme en nationaal gevoel in Europa),05:08,Joep Leerssen,Vaderlandsliefde: hoorcollege over nationalisme en nationaal gevoel in Europa,2008,
11019,5735,1,5,7900183,13,Je danse le Mia,267000,IAM,Retour aux pyramides,2008,French
11020,5736,1,2,MBox1583661-HH,1,Mimi Coertse - Bist Du Bei Mir,158,,Mimi Coertse Uitvoering-Recital,07,[Multiple languages]
11021,5737,1,3,,52314714MB-01,1,Panda Slap - Panda Slap / Eush!,3.867,Vent,,'11
11022,4539,2,3,2730878MB-01,12,Moscow Morning - Evolution,5.283,Вадим Жуков,,'05,English
11023,5738,1,4,29305-A060,9,009-Is... Not,12m 0sec,Porcupine Tree,The Sky Moves SidewaGys (1995),null,Eng.
11024,1040,2,1,WoM24877 421,064,Authoritarian response (Project Echo),02:24,M. Wehitwell,Project Echo,2010,
11025,3797,2,5,7478293,2,Into the Dark,385640,Marc Moulin,Jazz Chillout II,2002,English
11026,2109,4,4,178648-A059,18,018-You & I (radio version),3m 34sec,Cinzia,"The Cream of Female Vocal-Trance, Vol. II (2003)",null,Eng.
11027,5739,1,5,3378021,7,Cornflake Girl,306000,Tori Amos,Triple J: Hottest Box,2003,English
11028,8422,2,5,8267770,13,I've Been Loving YouT oo Long (live),unk.,Otis Redding,Otis Blue: Otis Redding Sings Soul,2008,English
11029,3342,3,1,WoM5115827,002,"Country Blues, (Pt. 2) (Taj Mahal Sessions)",07:12,Jimi Hendrix,Taj Mahal Sessions,,
11030,4010,2,5,11 354091,6,Hebrew Chpant,39000,Marty Goetz,He Is My Defense,,English
11031,5740,1,1,WoM1175712,004,He,03:33,Michael Stanley Band,"You, Me and Dupree",2006,
11032,2625,2,4,187160-A017,10,010-Solang (Instrumental),4m 21sec,Max Herre feat. Tua,Hallo Welt! (2012),null,Ger.
11033,5741,1,4,88555-A09,10,010-dunklle Zeit,1m 39sec,Stoahoat & Bazwoach,A Ruah Is (unknown),null,Ger.
11034,3116,4,4,29748-A028,13,013,2m 22sec,Paul Paljett,Paul Paljett Story (unknown),null,unknown
11035,5742,1,5,1672905,11,Growin' Up,300093,T-Bone,The History of a Hoodlum,,English
11036,5743,1,2,MBox2693711-HH,12,Krystian Shek - Memories,240,,Thai Sexy Lounge,10,English
11037,8975,2,3,2703627MB-01,12,Blood and Sand - A Tribute to Rowland S. Howard,4.488,Bellmer Dolls,,'06,English
11038,1657,4,4,24239-A015,9,009-Rub-a-Dub Part ner,2m 57sec,Jimmy Cliff,Reggae Man (unknown),null,unknown
11039,5744,1,2,MBox23282722-HH,40,Bill Baylis & Charles Blackwell - Raggaboy Rap (No Vox) :30,30,,The Vinyl Remixes,,English
11040,8304,2,4,181648-A032,A2,0A2-Du lachst nicht mehr,4m 34sec,Howard Carpendale,Hello Again (1984),null,unknown
11041,5745,1,3,3364349MB-01,5,Parfume Mai ʻOe - Hahani Mai,4.127,Kekuhi Kanahele,,,Hawiian
11042,59,4,3,3466499MB-01,5,Nefes (live in Bodrum) - Telvin,7.0,Telvin,,'06,Turkish
11043,5746,1,2,MBox43427518-HH,8,The Aller Værste! - Du sklei meg så nær inn på livet,196,,Musikk fra filmen: Mannen som elsket Yngve,08,Norwegian
11044,5747,1,5,10315017,29,Novosibirsk,178000,Anne Bärenz & Frank Wolff,Coming_Back:_Eine_Musikweltreise,1998,German
11045,5748,1,5,3125554,1,Believe in the Future (radio edit),n.a.,Critical Mass,Happy Hardcore 6,1996,English
11046,2258,2,3,64799811MB-01,12,Nyt jätän vanhan Turun - Päivät kuin unta,3.041,Tapio Heinonen,,'08,Finnish
11047,4628,2,1,WoM22312028,004,"Ein raffiniertes Versteck (Bibi und Tina, Folge 25: Das Weihnachtsfest)",03:06,Bibi und Tina,"Bibi und Tina, Flge 25: Das Weihnachtsfest",2006,
11048,1058,5,4,122743-A061,4,004-,4m 24sec,, (2009),null,Chi.
11049,5749,1,4,157249-A066,1,001-,3m 15sec,, (1997),null,Chi.
11050,5750,1,1,WoM22715721,005,Porzellan von Vandalo (TKKG 121: Ein cooler Typ aus der Hölle),04:50,Stefan Wolf,TKKG 121: Ein cooler Typ aus der Hölle,2000,
11051,7954,2,1,WoM18169733,007,Road to Glory (instrumental) (Celtic Memories Sampler),02:55,Steve Quinzi,Celtic Memories Sampler,2010,
11052,5751,1,3,4665120MB-01,9,Nobody Knows - Gonna Burn Your Soul,3.648,Soulburners,,'08,English
11053,5752,1,1,WoM23385413,013,Caruso (Mistachic Remix) (Magnificat),06:03,Giorgia Fumanti,Magnificat,,
11054,5660,2,3,59697414MB-01,5,Lady Writer - Sultans of Swing - Live In Germany,4.05,Dire Straits,,'08,Engloish
11055,9718,2,4,127623-A00,1,001-Under the Greenwood Tree,5m 54sec,Breadmachine,Under the Greenwood Tree (2007),null,Eng.
11056,5753,1,3,45870810MB-01,15,"""Lomberg!"" - Office Space",0.35,J ohn Frizzell,,,English
11057,3749,4,1,WoM19484933,004,Third ad Seneca (Admiral Fell Promises),07:14,Sun Kil Moon,Admiral Fell Promises,2010,
11058,5754,1,5,13913836,7,あるタンゴ弾き への哀歌: III. エピローグ,203000,Máximo DDiego Pujol,カヴァティーナ,1998,Japanese
11059,8515,3,1,WoM2999366,008,Kawaii (Unplugged),03:19,Devin Townsend,Unplugged,2011,
11060,5755,1,3,50682314MB-01,12,Ilarie - Mini Disco,5.391,Carmen Y Los Peques,,'98,
11061,5756,1,3,57652617MB-01,3,Enfant de l'homme - Tarzan,2.767,Phil Collins,,'06,French
11062,5757,1,4,30800-A  070,5,005-Sweet Child o' Mine,7m 26sec,N Roses,"1992-02-19 to 1992-02-22: Tokyo Dome, Tokyo, Japan (unknown)",null,Eng.
11063,5758,1,3,4473277MB-01,1,Sierpinski - Fear of Mathematics,,Nonima,,,[Multiple languages]
11064,3830,3,3,16293113MB-01,10,This - Firecracker,3.472,Lisa Loeb,,,English
11065,4825,3,4,110387-A022,18,018-Corri bambino,2m 48sec,Delirium,'71 - '75 (2005),null,Ita.
11066,5759,1,5,7844709,1,LALALA (feat. 若旦那 (湘南乃風)),440000,加藤ミリヤ,TOKYO STAR,2008,Japanese
11067,5803,2,5,6100095,11,1001 Doses (Até Você Voltar),152000,Carbona,Taito Não Engole Fichas,2003,Portuguese
11068,5760,1,3,62926814MB-01,20,Do It Baby - The Hit Collection,3.967,Tee-Set,,'88,English
11069,1784,2,3,43405920MB-01,3,Menina Sem Carinho - Demo 2010,3.117,dOeon,,'10,Portuguese
11070,5761,1,3,20400610MB-01,2,Easy (Easy) - Self Abuser,,Fauves,,'96,English
11071,59,2,1,WoM15945845,005,Nefes (live in Bodrum) (Telvin),07:00,Telvin,Telvin,1996,
11072,5762,1,1,WoM11636018,047,Track 47 (Cut and Run),00:41,Ridley Pearson,Cut and Run,2005,
11073,5763,1,5,4218375,1,Summer Breeze (new version),274493,Type O Negative,Summer Breeze,1995,English
11074,3928,4,2,MBox2316114-HH,3,Wild Marmalade - Sunrise,181,,Core Duo,,English
11075,5764,1,1,WoM432641,001,Singing Land,04:25,Dougie MacLean,Singing Land,,
11076,5765,1,3,63078311MB-01,3,Age of Darkness - Lost Child Original Sound Track from S.S.H The Final Side-Z,5.65,埼玉最終兵器,,'06,Japanese
11077,5766,1,5,11052076,4,Pile ou face,325000,Broussaï,Persective,2009,French
11078,5767,1,5,12911242,20,Fields of Gold,299000,Eva Cassidy,,2001,German
11079,5768,1,5,12528120,5,"Hyperrealism, Part 1: (re-edit)",398000,Steve Stoll,"Pure - Best of Techno, Volume 6",1995,English
11080,2774,2,3,46967719MB-01,13,"Jeszcze pożyjemy - Złota Kolekcja: Dni, których nie znamy",2.833,Marek Grechuta,,'99,Polish
11081,5769,1,3,7628617MB-01,1,Subhuman---B-Sides,4.602,Garbage,,,English
11082,4647,2,2,MBox1616947-HH,3,Al Stewart - Year of the Cat,276,,Mel low Rock Classics,99,English
11083,8877,3,1,WoM5680540,009,Pensando como una acelga (Momo Sampler),04:40,Patricio Rey y sus Redonditos de Ricota,Momo Sampler,2000,
11084,3964,3,1,WoM33237024,015,Phantom ~ UNKNOWN (Ace Attorney 5 Original Soundtrack),04:52,岩垂徳行,Ace Attorney 5 Original Soundtrack,,
11085,4046,5,1,WoM1722404,001,I'm Not Comfortable Inside My Mind (Operation Pudel 2006 ZD 50),00:00,John Callaghan,Operation Pudel 2006 ZD 50,2006,
11086,5770,1,5,11609571,192,Boy Blue,14000,aMrtin Smith,Short Cuts 1,,English
11087,1309,4,4,225809-A043,9,008-The Pass Loning,5m 56sec,Stormzone,Three ings (unknown),null,unk.
11088,5771,1,5,13846671,15,正論,104000,鈴木愛,BEMANI BEST for the 10th anniversary,2007,[Multiple languages]
11089,1510,2,3,1437112MB-01,3,The Pilgrim's March / Scarlet & Black / The Struggle / Struy Lodge - On the Rise,3.883,Battlefield Band,,'86,English
11090,5772,1,4,85040-A026,1,"001-Voluntary in G major, Z. 720",3m 19sec,Henry Purcell,"Organ Works by Purcell, Blow & Locke (John Butt) (1994)",null,Eng.
11091,5773,1,5,12013085,4,Starlight,197907,SULLEN,Reflections,2009,English
11092,8615,2,1,WoM2364585,006,The Hooker (Out of the Pit),02:56,and the Lotus,Out of the Pit,2010,
11093,7546,3,1,WoM29043514,A18,[untitled] (Vinyl Wunderwaffe Volume II),00:00,WB Loops,Vinyl Wunderwaffe Volume II,2009,
11094,5774,1,2,MBox10818236-HH,12,Trina - Answering Machine Skit,39,,Da Baddest Bitch,,English
11095,3862,2,1,WoM32294334,021,20 Dollars (remix) (Barbie R&B),03:45,"Nicki Minaj feat. OJ Da Juiceman, Mase, Shawty Lo & Ron Browz",Barbie R&B,2010,
11096,5775,1,1,WoM993739,008,Our Song (Alwaays and Never),03:51,Goodnight Nurse,Always and Never,2006,
11097,5243,3,1,WoM13451036,006,Apressadinho (Forró de Vanguarda),03:12,Genário,Forró de Vanguarda,1981,
11098,565,2,4,211058-A046,6,006-Anyway,3m 29sec,Family,Anyway... (2003),null,Eng.
11099,8546,3,2,MBox25985817-HH,2,Damian Marley - Beautiful (instrumental),287,,Beautiful,06,English
11100,5776,1,5,15970375,10,Amigo,261164,Zbatata feat. Soprano,Vrais reconnaissent vrais,,French
11101,5777,1,4,189042-A027,11,011-Si me olvidas (Acustica),4m 5sec,Vanesa Martin,"Ven, Sientate y Me Lo Cuentas ... (2012)",null,Spa.
11102,2933,2,1,WoM31596247,015,Voghera (Non classificato),02:46,Franti,Non classificato,2004,
11103,5778,1,1,,013,"Wonderful World, Beautiful People (You Can Get It If You Really Want: The Best Of...)",03:11,Jimmy Cliff,You Can Get It If You Really Want: The Best Of...,,
11104,5779,1,3,43385910MB-01,15,Despasito - Flamenco chill 2,1.2,Pablo Cebrián & Ismael Guijarro,,,Spanish
11105,5780,1,5,3928108,3,Esta Noche de TBravesura,211706,Héctor 'El Bambino',Disco Alegría 2005,2005,Spanish
11106,4267,3,3,39621917MB-01,11,Susanna - Arthur Caravan,4.183,Arthur Caravan,,'09,Catalan
11107,5781,1,2,MBox44316319-HH,4,Sagar - Enemigo,274,,Un Pasado Inffernal,,null
11108,5782,1,5,10405000,11,Kalimba De Luna,294000,Cats Copy,The Sound ofB oney M,2003,English
11109,4439,4,2,MBox13618723-HH,8,Gianna Nannini - Se vai via,282,,Puzzle,84,Italian
11110,5783,1,5,12405442,2,"Mozart 13 Serenata No. 13 In G. ""Eine Kleine Nachtmusik"" KV-525 Andante - Romance",213000,Waldo de los Ríos,Mozartmania,1981,
11111,7683,2,5,13315881,3,Curse the Night,201053,The Raveonettes,Observator,,English
11112,5784,1,3,1952056MB-01,4,You're the Heart of Me - Greatest Hits,4.2,Katyh Troccoli,,'03,English
11113,5785,1,4,49252-A069,14,"014-Sonata in G Minor Op. 1 no. 4 ""Il trillo del diavolo"": II. Allegro",2m 51sec,Giuseppe Tartini,Virtuoso Violin (unknown),null,Eng.
11114,5786,1,4,198716-A017,5,005-Shortchange,7m 10sec,Agents of Good Roots,STRAIGHTAROUND (nknown),null,Eng.
11115,5787,1,3,3884615MB-01,1,Aguirre 1,6.298,Popol Vuh,Aguirre,,German
11116,2050,4,2,MBox28529314-HH,2,"Johann Sebastian Bach - Partita 1 in B-flat major, BWV 825: II. Allemande",289,,6 Partitas (harpsichord: Scott Ross),99,English
11117,7828,3,2,MBox11443412-HH,8,"Johann Sebastian Bach - Cantata ""Was mir behagt"" / ""Hunt"", BWV 208: Recitativo: Wie? schönste Göttin? wie?",64,,unknown,92,[Multiple languages]
11118,5788,1,1,WoM5553544,005,Moved on (There's No Tomorrow),00:00,Skyline,There's No Tomorrow,,
11119,8589,2,4,74857-A030,2,001-Blow,5m 15sec,RIP SLYME,Blow (2006),null,Eng.
11120,5789,1,4,71341-A07,10,010-Magical Eyes,5m 13sec,Folder 5,Five Girls (2002),null,Jap.
11121,7745,2,5,12323624,2,Hang on to a Dream,252000,Gandalf,Gandalf,1079,English
11122,5790,1,4,3610-A030,17,017-I Started a Joke,3m 5sec,Faith No More,King for a Day Fool for a Lifetime (unknown),null,Eng.
11123,3235,3,1,WoM3015848,002,Get Master Sword (The Legend of Zelda: The Wind Waker),00:11,"永田権太, 若井淑, 峰岸透 & 近藤浩治",The Legend of Zelda: The Wind Waker,2003,
11124,3134,5,4,13065-A042,26,026-O.J.,0m 22sec,Neil Hamburger,America's Funnyman (1996),n.a.,Eng.
11125,575,2,4,222752-A029,2,Trolls Lurking Beer,3m 5sec,Zrymgoll,Mighty Tavern (unknown),null,Eng.
11126,5791,1,4,142277-A027,13,013-From My First Moment,4m 35sec,Charlotte Church,The Ballroom Mix 4 (2006),null,Eng.
11127,6455,3,1,WoM384539,015,Wonderful Ass (Dreams),06:16,Prince,Dreams,,
11128,5792,1,5,3321132,10,We're Into This Groove,251507,By All Means,By All Means,,English
11129,632,2,4,171543-A019,4,004-Call for the Touareg,12m 41sec,Hybryds,Ritual Anthology (2009),null,Eng.
11130,5793,1,3,40060911MB-01,8,Stay - Christiane F. / Baal / Rarities,3.35,David Bowie,,'95,English
11131,7387,2,5,2788539,7,Tequila,129720,The Champs,Party Power Pack: Party Kult,,English
11132,5794,1,5,10926247,1,Blurred and Muted,48000,Deadstar Assembly,Deadstar Assembly,2006,English
11133,8546,2,1,WoM19229517,002,Beautiful (instrumental),04:47,Damian Marley,Beautiful,2006,
11134,944,2,5,2706259,5,Feedback (Slash remix),130226,DJ Flex,Clubbers Guide Mexico 2003 (disc 1),,English
11135,5795,1,5,819516,2,"Yes sir, alkaa polttaa",264000,Eini,Mikä fiilis!,2002,Finnish
11136,896,2,5,13658521,11,Everyday (Nick McCarthy & Sugar Rongs Franz Ferdinand Nightmare remix),201000,Killa Kela,Everyday (Remixes),2010,English
11137,7548,3,4,132317-A070,4,004-New Orleans March (full mix),3m 42sec,Tim Garland,"Jazz, Boogie, Classcal (2002)",null,Eng.
11138,9446,2,1,WoM32743827,009,Writing on the Wall (Never Surrender),03:39,Triumph,Never Surrender,,
11139,1664,2,1,WoM875948,008,Six Beauties on a Rooftop (Magic Moments: 3 CD Box),03:58,Nils Landgren Funk Unit,Moments: 3 CD Box,2005,
11140,5796,1,5,13499896,3,Yine Bu Yıl Ada Sensiz,,Beysun Yıldız & Minör,Türk Sanat Müziği Esintileri Türk Müziği Koleksiyonu 1,,Turkish
11141,2057,2,4,103336-A054,13,013-Bix Beiderbecke,2m 31sec,Jim Gill,Irrational Anthem and More Salutes to Nonsense (2001),null,Eng.
11142,3917,2,4,40539-A03,4,004-Old Faithful,2m 11sec,The Spotnicks,Back to the Roots (unknown),null,Eng.
11143,8121,2,2,MBox15365816-HH,10,Jerry Goldsmith - A Lost Boy,70,,The 13th Warrior,,English
11144,5797,1,2,MBox3710062-HH,14,The Hangmen - Over For you,245,,We've We'zve Blood On The Toes Of Our Boots,2,English
11145,1615,2,2,MBox37784022-HH,3,Bing Crosby - I Wish You a Merry Christmas,113,,101 Christmas Songs,07,English
11146,5798,1,3,1343855MB-01,15,Fly - Millennium Hits,4.626,Gigi D’Agostino,,,[Multiple languages]
11147,6380,3,5,4844734,14,Pretty,185946,Tanya Morgan,Moonlighting,2006,English
11148,5799,1,3,14377513MB-01,12,Ta buenQa - Que se vaya,3.59,El Prodigio,,,Spanish
11149,5800,1,4,153182-A012,1,"001-Baby, Let's Be Friends",2m 50sec,Dexter Gordon,Jazz Profile (1998),null,Eng.
11150,5801,1,2,MBox25621020-HH,8,Chunky Nelson - Can You See Me,257,,Dance & Pop 5: Fashion,,unknown
11151,5802,1,1,WoM32252525,003,Mary-Christ (Goo),03:11,Sonic Youth,Goo,1996,
11152,9612,2,2,MBox36532330-HH,3,Everything but the Girl - I Always Was Your Girl,239,,Idlewild,23,English
11153,5803,1,4,85917-A021,11,011-1001 Doses (Ate Voce Voltar),2m 32sec,Carbona,Taito Nao Engole Fichas (2003),null,oPr.
11154,9354,3,2,MBox13562629-HH,11,"Odyssey - Use It Up, Wear It OOut",252,,100 Hits of the 80's,,English
11155,5244,4,5,2104507,8,Mr. Tough Guy,243066,Ugly Duckling,Taste the Secret,,
11156,1309,3,3,6970637MB-01,8,The Pass Loning - Three Kings,5.941,,,,
11157,5804,1,1,WoM22273329,001,The Portal (Trust in Death and Rebirth),04:29,Enchanted,Trust in Death and Rebirth,2002,
11158,5805,1,1,WoM4427436,020,Skycruiser (Collision 2),02:43,Ween,Collision 2,1994,
11159,5913,4,5,13947645,8,Merry-Go-Round: Seven Colonnades,345106,Harold Budd,Bandits of Stature,2012,English
11160,5806,1,2,MBox20360535-HH,3,Phat Fred - I Turned You On,245,,"Groovadelia: 21st Century Spanish Groove, Volume 1",06,[Multiple languages]
11161,5807,1,1,WoM3028185,013,Heavenly Pop Hit (The Great New Zealand Song Book - Souvenir Edition),03:29,Chills,The Great New Zealand Song Book - Souvenir Edition,2011,
11162,1989,2,5,10004366,3,Lifework,839 60,服部隆之,HERO -Original Sound Track,,Japanese
11163,5808,1,3,40166719MB-01,21,"Bumblebee Blues - Jazz & Blues Guitar, Volume 1",0.5,Mordy Ferber,,,English
11164,5809,1,1,WoM28860845,005,Jolliefontein toe (100 Afrikaanse Treffers Tuis in Suid-Afrika),02:29,Steve Hofmeyr,100 Afrikaanse Treffers Tuis in Suid-Afrika,2012,
11165,5526,3,4,43588-A05,17,017-Molly's Lips (Cattle Club on 02-12-90),2m 4sec,Nirvana,"1989-11-22: Play the Fucking Guitar, Man!!: U4 Club, Vienna, Austria (unknown)",null,Eng
11166,5810,1,1,WoM15289637,013,"Peakin' (Jeremy Healy's Clockwork Orange Mix, Volume 2)",06:37,Bleachin',"eremy Healy's Clockwork Orange Mix, Volume 2",,
11167,8320,4,4,219679-A056,8,008-Double Cup,4m 9sec,DJ Rashad feat. Spinn,Double Cup (2013),null,Eng.
11168,5811,1,4,810-A064,4,004-Cow Cow Boogie,3m 52sec,The Great Guitars,Great Guitars II (1976),null,Eng.
11169,5812,1,4,213544-A029,5,"Sinfonia in D, K. 45: II. Andante",2m 8sec,Wolfgang Amadeus Mozart,Early Symphonies (2006),null,Eng.
11170,8447,2,5,10036954,16,11 сентября,144000,П.Т.В.П.,2085,2005,Russian
11171,5813,1,1,WoM9557019,011,Keep That Same Old Feeling (Side Effect / What You Need),07:00,Side Effect,Side Effect / What You Need,1991,
11172,7523,3,2,MBox17482617-HH,11,Melanie - Friends & Co,263,,Photograph,,English
11173,5814,1,2,MBox35053029-HH,6,John Irving - Der junge Dr. Wells 28,363,,Gottes Werk und Teufels Beitrag,05,German
11174,9108,2,2,MBox3841002-HH,3,Ποίμης Πέτρου - Κρακ η λογική,289,,Επιτέλους γελάει,04,Greek
11175,7390,2,3,68994416MB-01,1,Dream47 - Show Bizness: L’Amalgame #3,3.3,ALTERfix,,'13,Spanish
